Id,Label,screen_name,weight,In-Degree,Out-Degree,Degree,Modularity Class,Clustering Coefficient,Eigenvector Centrality
2800648193,UmmHussain103,UmmHussain103,1,1,1,2,0,0,0.010826116
2774695984,DudeGeorg,DudeGeorg,1,4,0,4,0,0.33333334,0.073992814
210075713,Boble_,Boble_,1,5,0,5,0,0.4,0.085159503
1240924256,wartaperang,wartaperang,1,3,0,3,0,0.5,0.063531114
2816442478,AbuHussain104,AbuHussain104,1,80,753,833,0,0.001357756,0.23230833
2535915634,hatekufrnshirk,hatekufrnshirk,1,5,3,8,0,0.4,0.078020901
800161939,sexpanther666,sexpanther666,1,1,0,1,0,0,0.004028086
2611675292,S____SAMA,S____SAMA,1,6,0,6,0,0.4,0.125661808
34898084,vvanwilgenburg,vvanwilgenburg,1,4,1,5,0,0.4,0.096558292
2751103276,AlBenjali,AlBenjali,1,2,1,3,0,0,0.035537131
1154482490,Biwn_1,Biwn_1,1,1,0,1,0,0,0.010826116
2265743774,anikreal1,anikreal1,1,5,0,5,0,0.4,0.107384408
